         208936 function calls (208434 primitive calls) in 58.987 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      619    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      500    0.188    0.000    0.188    0.000 {method 'astype' of 'numpy.ndarray' objects}
      500    0.004    0.000    0.004    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     5519    0.017    0.000    0.017    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2518    0.004    0.000    0.004    0.000 {method 'discard' of 'set' objects}
     5518    0.016    0.000    0.016    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'from_buffer_copy' of '_ctypes.PyCStructType' objects}
     5110    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     1000    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      846    0.001    0.000    0.001    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      500    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      500    0.001    0.000    0.001    0.000 {method 'release' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      500    0.009    0.000    0.009    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     5012    0.013    0.000    0.013    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      709    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      845    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      501    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
     1002    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}


